nohup: ignoring input
Using Bao: True
python3 baoctl.py --train_mode retrain --dataset stats --repeat 0 --alpha 0.5 --train_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_plans --train_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --save_folder workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2 --predict_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2.sql --predict_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --contrastive
160 1759217592.7455928 0.11580204963684082
161 1759217592.8200145 0.07434988021850586
162 1759217592.887798 0.06771612167358398
163 1759217592.9711957 0.08327770233154297
164 1759217593.0481381 0.07684707641601562
165 1759217593.1273339 0.07900810241699219
166 1759217593.210127 0.08267855644226074
167 1759217593.2859335 0.07564616203308105
168 1759217593.3713875 0.08533382415771484
169 1759217593.444117 0.07260584831237793
170 1759217593.5333643 0.0890960693359375
171 1759217593.6063335 0.07283473014831543
172 1759217593.6998124 0.09334778785705566
173 1759217593.7633972 0.06347179412841797
174 1759217593.8287985 0.0653085708618164
175 1759217593.8998299 0.07092881202697754
176 1759217593.975333 0.07538676261901855
177 1759217594.0650878 0.08968496322631836
178 1759217594.1343498 0.06913256645202637
179 1759217594.199358 0.06493330001831055
180 1759217594.27897 0.07954120635986328
181 1759217594.3495555 0.07052254676818848
182 1759217594.415423 0.06579995155334473
183 1759217594.4957788 0.08022689819335938
184 1759217594.5653102 0.06940531730651855
185 1759217594.6407418 0.07531332969665527
186 1759217594.7248323 0.08397054672241211
187 1759217594.8029962 0.07803869247436523
188 1759217594.933308 0.13020801544189453
189 1759217595.0016067 0.0682229995727539
190 1759217595.0713089 0.06961917877197266
191 1759217595.138253 0.0668783187866211
192 1759217595.214848 0.07651066780090332
193 1759217595.2831168 0.0681464672088623
194 1759217595.34434 0.06111717224121094
195 1759217595.4232123 0.07879781723022461
196 1759217595.5466087 0.12332415580749512
197 1759217595.621053 0.07436418533325195
198 1759217595.6877434 0.06662201881408691
199 1759217595.7665641 0.07869648933410645
Total time: 17.085988998413086
Using Bao: True
python3 baoctl.py --train_mode retrain --dataset stats --repeat 0 --alpha 0.5 --train_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_5_2/value_distribution_5_2_plans --train_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_5_2/value_distribution_5_2_time.txt --save_folder workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_5_2 --predict_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2.sql --predict_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --contrastive
0 1759217596.124006 0.07766580581665039
1 1759217596.2011938 0.07710504531860352
2 1759217596.2677395 0.06648421287536621
3 1759217596.3397732 0.07196545600891113
4 1759217596.423246 0.08339571952819824
5 1759217596.497302 0.07397747039794922
6 1759217596.5655165 0.06812596321105957
7 1759217596.6405592 0.07496428489685059
8 1759217596.7089648 0.06833529472351074
9 1759217596.785522 0.07645630836486816
10 1759217596.861601 0.0759894847869873
11 1759217596.924246 0.06257748603820801
12 1759217596.9915102 0.06717419624328613
13 1759217597.0588336 0.06720089912414551
14 1759217597.1296096 0.0707085132598877
15 1759217597.2026932 0.07294821739196777
16 1759217597.2678754 0.06505990028381348
17 1759217597.3406186 0.0726308822631836
18 1759217597.4078743 0.06716656684875488
19 1759217597.5055835 0.09763932228088379
20 1759217597.5891986 0.08347606658935547
21 1759217597.6730523 0.08377289772033691
22 1759217597.7482793 0.07503652572631836
